Configuration: SHA-512 8 2 1000
Iteration 257: 0.000013250 0.000217334 0.000228709 0.000009250
Iteration 258: 0.000011500 0.000147083 0.000187791 0.000116875
Iteration 259: 0.000010750 0.000219583 0.000186250 0.000041625
Iteration 260: 0.000010625 0.000186209 0.000177083 0.000127625
Iteration 261: 0.000016458 0.000145250 0.000127083 0.000203250
Iteration 262: 0.000015166 0.000140125 0.000290584 0.000106417
Iteration 263: 0.000218000 0.000213166 0.000154166 0.000091000
Iteration 264: 0.000019917 0.000166250 0.000205958 0.000078708
Iteration 265: 0.000009750 0.000211708 0.000166250 0.000068459
Iteration 266: 0.000009500 0.000213208 0.000180417 0.000054667
Iteration 267: 0.000009709 0.000217250 0.000220792 0.000011125
Iteration 268: 0.000009667 0.000203791 0.000194125 0.000050166
Iteration 269: 0.000009417 0.000121875 0.000227584 0.000107042
Iteration 270: 0.000009958 0.000139417 0.000185500 0.000138125
Iteration 271: 0.000009459 0.000151625 0.000128417 0.000166333
Iteration 272: 0.000009500 0.000211459 0.000190084 0.000044042
Iteration 273: 0.000009459 0.000128125 0.000136542 0.000180541
Iteration 274: 0.000009625 0.000182500 0.000156917 0.000106750
Iteration 275: 0.000009583 0.000198125 0.000212166 0.000040041
Iteration 276: 0.000009416 0.000124834 0.000122375 0.000205208
Iteration 277: 0.000009417 0.000135917 0.000172208 0.000152583
Iteration 278: 0.000009459 0.000177166 0.000181583 0.000097833
Iteration 279: 0.000009416 0.000169334 0.000173125 0.000108208
Iteration 280: 0.000009625 0.000152584 0.000180250 0.000126167
Iteration 281: 0.000009708 0.000191959 0.000190708 0.000071583
Iteration 282: 0.000009667 0.000207375 0.000194208 0.000051791
Iteration 283: 0.000009750 0.000176625 0.000194250 0.000077625
Iteration 284: 0.000009500 0.000127625 0.000127333 0.000195500
Iteration 285: 0.000009458 0.000198834 0.000198750 0.000050166
Iteration 286: 0.000009417 0.000200750 0.000199708 0.000047833
Iteration 287: 0.000009500 0.000131375 0.000220541 0.000097333
Iteration 288: 0.000009541 0.000145208 0.000217250 0.000086417
Iteration 289: 0.000009542 0.000178958 0.000216500 0.000058000
Iteration 290: 0.000009375 0.000153750 0.000192042 0.000112333
Iteration 291: 0.000009708 0.000158167 0.000149333 0.000152334
Iteration 292: 0.000009708 0.000120375 0.000216583 0.000142500
Iteration 293: 0.000010083 0.000206917 0.000160416 0.000080708
Iteration 294: 0.000009583 0.000208833 0.000216958 0.000030041
Iteration 295: 0.000009333 0.000130125 0.000210125 0.000112542
Iteration 296: 0.000009625 0.000175459 0.000179875 0.000098458
Iteration 297: 0.000010291 0.000207209 0.000213875 0.000031208
Iteration 298: 0.000009459 0.000128083 0.000164292 0.000160167
Iteration 299: 0.000011166 0.000216250 0.000133875 0.000103000
Iteration 300: 0.000009667 0.000202583 0.000157416 0.000091500
Iteration 301: 0.000010250 0.000178625 0.000188000 0.000086792
Iteration 302: 0.000009583 0.000156417 0.000155083 0.000140792
Iteration 303: 0.000009708 0.000138834 0.000157834 0.000150542
Iteration 304: 0.000009500 0.000132834 0.000175834 0.000139375
